Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel
2000-01-01,194410.47619047618,202645.2,308156.82,634667.06
2000-02-01,174710.55238095237,205530.96,307766.31,642380.66
2000-03-01,189234.06666666668,229499.56,331910.29,699807.25
2000-04-01,174330.60714285713,210680.4,315648.08,586803.98
2000-05-01,191745.14761904764,208164.34,319667.97,656948.2
2000-06-01,196321.93333333335,195088.74,300347.7,570919.88
2000-07-01,192344.50238095238,204556.77,308305.93,576436.02
2000-08-01,203727.08095238093,218388.51,323011.86,593770.77
2000-09-01,194565.09761904762,213906.96,326455.72,590145.4
2000-10-01,210261.82619047622,213606.65,323843.63,641113.36
2000-11-01,205027.95261904763,209227.48,320788.08,657086.3
2000-12-01,200247.555,230020.7,366987.56,673282.26
2001-01-01,179405.99027777778,164547.3516666666,300242.7816666665,569328.7870238096
2001-02-01,167818.1378968254,174838.8116666666,301483.401666666,597749.8317857146
2001-03-01,186397.3259920635,201992.6516666666,355572.831666666,736085.9732142859
2001-04-01,175820.34503968255,198683.3916666666,355826.761666666,606257.6589285719
2001-05-01,178303.33075396824,182504.09166666662,336040.041666666,664082.6575
2001-06-01,177826.92837301586,201379.4816666666,308804.7016666665,559333.0336904764
2001-07-01,191041.99027777778,214980.2416666666,350501.971666667,589452.7346428575
2001-08-01,190295.99027777778,204646.771666667,348414.6516666665,568546.3746428574
2001-09-01,184039.99027777778,188292.3516666666,324393.9616666665,533108.3946428574
2001-10-01,206176.99027777778,225240.9516666666,366261.631666666,603371.1846428574
2001-11-01,201335.99027777778,210324.9516666666,351890.631666666,626156.1846428574
2001-12-01,209792.99027777778,223209.9516666666,403561.631666666,664190.1846428574
2002-01-01,196068.60873015874,200309.85166666665,368935.52583333326,726672.5991666663
2002-02-01,180209.8015873016,183119.34166666665,348917.78583333327,694344.7791666662
2002-03-01,186680.96587301587,212711.71166666664,385044.96583333326,656379.2891666662
2002-04-01,196167.1611111111,204765.62166666664,379741.9758333333,683646.1691666662
2002-05-01,201612.35634920635,201083.51166666663,375054.63583333325,707165.4691666663
2002-06-01,193024.39920634922,187629.42166666663,371138.58583333326,667820.7091666663
2002-07-01,204196.24444444446,201692.64166666663,399944.64583333326,656761.5991666663
2002-08-01,213625.43253968254,205240.77166666664,392355.6158333333,657099.7391666662
2002-09-01,209849.7587301588,177614.80166666664,347191.43583333323,653664.5991666663
2002-10-01,212932.32777777783,203097.24166666664,381595.19583333324,653053.2691666662
2002-11-01,210000.54682539683,207629.81166666665,384334.21583333326,671401.3291666663
2002-12-01,223830.39682539683,199619.27166666664,400645.4158333333,676192.4491666663
2003-01-01,213268.97857142857,193713.62,376516.58,769843.3
2003-02-01,206815.0119047619,184354.61,355760.81,709783.58
2003-03-01,216427.95,201443.37,361880.87,786484.49
2003-04-01,204403.5119047619,219004.31249999997,377395.17,709626.3875
2003-05-01,216452.75214285718,200407.18,390624.27,755982.05
2003-06-01,212069.04047619048,168327.72,346941.84,641540.08
2003-07-01,231172.01428571428,174317.57,377178.84,631704.12
2003-08-01,222312.70714285717,171665.05,355682.72,613428.55
2003-09-01,225703.05,174757.95,348659.02,582989.47
2003-10-01,239665.04285714283,209314.45,392041.78,722763.6
2003-11-01,229612.35476190477,168510.0,330640.23,639828.39
2003-12-01,247544.63809523807,196081.99,391327.66,652872.45
2004-01-01,235284.96571428573,203975.57,381547.72,656987.4
2004-02-01,213288.68333333332,180290.24,339576.46,659540.43
2004-03-01,233426.35476190475,206455.62,379687.46,746236.84
2004-04-01,217530.87619047618,182379.92,357595.81,633766.06
2004-05-01,225959.05023809522,160741.9,322596.73,556369.7
2004-06-01,225673.46404761903,164782.5,318811.5,560393.48
2004-07-01,243064.07285714286,182642.41,346413.66,583098.546
2004-08-01,236324.7680952381,207432.8,390304.28,699610.8
2004-09-01,225204.18023809523,194240.55,364689.84,612639.57
2004-10-01,229626.05833333335,200323.53,380441.55,619084.79
2004-11-01,225593.82309523807,214509.65,378498.6,705298.16
2004-12-01,241915.00523809527,236733.03,429109.1,761864.3
2005-01-01,227154.96976190474,209901.6,321382.14,724692.36
2005-02-01,211814.37595238094,198775.61,375768.83,717116.77
2005-03-01,224387.02833333335,231358.58,410241.928,802139.58
2005-04-01,218555.20642857143,225644.89,389737.16,803996.93
2005-05-01,230568.15238095235,187048.26,343762.52,715360.44
2005-06-01,223151.25952380954,202161.79,351906.82,681743.36
2005-07-01,236140.07857142857,213821.77,389172.65,678614.47
2005-08-01,242734.74047619046,212696.38,396871.12,693681.13
2005-09-01,223283.86904761902,196776.87,378887.62,666258.37
2005-10-01,213139.58095238096,192270.24,328052.56,589830.24
2005-11-01,222988.52619047617,185251.12,360869.14,701255.47
2005-12-01,225410.42904761905,241035.13,448688.52,775027.2
2006-01-01,217867.30952380953,211152.72,382078.88,750946.36
2006-02-01,212328.60714285713,200551.4,367944.25,734530.76
2006-03-01,232405.35714285716,233082.86,427567.58,875047.29
2006-04-01,207612.26904761902,223479.45,392050.29,711185.23
2006-05-01,232489.8333333333,222710.9,379832.55,734289.15
2006-06-01,236563.82857142854,196511.22,364359.35,672428.87
2006-07-01,239767.85476190477,210255.7,392252.91,684438.7
2006-08-01,245672.01666666666,211202.14,394585.28,707219.69
2006-09-01,256040.1023809524,204369.99,382724.97,650791.38
2006-10-01,238514.63333333333,203061.39,400793.81,683543.13
2006-11-01,228417.4380952381,205541.91,401922.57,739181.99
2006-12-01,236333.1119047619,233936.83,454373.13,776330.26
2007-01-01,217344.65595238097,216560.79,418412.86,810372.66
2007-02-01,211149.36071428572,204991.91,401425.14,799394.6
2007-03-01,264115.98333333334,239019.91,454731.09,956680.19
2007-04-01,224818.87619047618,217536.23,403732.56,758988.58
2007-05-01,259749.48095238098,224400.73,426414.71,811703.69
2007-06-01,244505.28333333335,217473.91,390991.36,720896.77
2007-07-01,261555.62142857144,219874.23,416497.41,721550.61
2007-08-01,267634.12142857147,236565.57,411088.53,736620.9
2007-09-01,254081.75857142854,207241.84,390568.99,669587.88
2007-10-01,264936.6595238095,224750.77,419001.81,738702.86
2007-11-01,250108.61190476193,218116.79,417490.77,779547.05
2007-12-01,253659.5285714286,252394.11428571425,438542.79333333333,768886.87
2008-01-01,252508.3333333333,213645.39,403266.74,797668.91
2008-02-01,241978.08333333334,215873.67,407735.55,794000.25
2008-03-01,247679.0380952381,233761.07,424157.28,776026.79
2008-04-01,243178.03095238094,233687.28,399193.53,807725.77
2008-05-01,240798.45952380952,236635.85,390882.63,682326.18
2008-06-01,242422.57142857142,200656.57,337464.32,507662.65
2008-07-01,243531.97142857144,228640.21,374847.05,544399.26
2008-08-01,237062.51904761905,227499.0,378363.76,556174.4
2008-09-01,225262.4585714286,218214.64,367962.73,557802.62
2008-10-01,263100.50238095236,238955.44,386430.4,617863.13
2008-11-01,230092.62142857147,238626.16,375438.69,688104.11
2008-12-01,245852.64523809525,298245.47,463343.73,778953.84
2009-01-01,217372.4166666667,273494.16,424264.5,800526.47
2009-02-01,212038.24192799072,254667.7,424438.71,795050.51
2009-03-01,235475.31666666668,290343.27999999997,434248.69,865981.57
2009-04-01,209739.1738095238,290887.08,454265.4,822109.7400000001
2009-05-01,221884.4661904762,276970.67,432401.49,770687.2799999999
2009-06-01,221329.6261904762,252551.99000000002,393140.38,703815.5499999999
2009-07-01,241510.20476190475,283142.05,435256.08999999997,740868.09
2009-08-01,232174.10952380954,267830.84,409182.96,692376.6999999998
2009-09-01,225886.4261904762,248994.41999999998,420238.71,687435.1000000001
2009-10-01,235899.13333333336,269008.52,421753.29000000004,775739.56
2009-11-01,232172.83333333337,212149.905,391754.81,738678.6499999999
2009-12-01,215923.37857142853,296805.29000000004,449842.29000000004,891670.4099999999
2010-01-01,228078.62380952382,243341.49000000002,389068.41,777741.3400000001
2010-02-01,214409.6857142857,248207.93000000002,391195.69000000006,807692.1
2010-03-01,242081.58571428573,320985.41000000003,465664.59,1017058.18
2010-04-01,216150.6666666667,254872.61000000002,387063.18,762770.0099999999
2010-05-01,215523.5380952381,238903.31,381811.17999999993,721668.1799999999
2010-06-01,226415.07380952383,251896.38999999998,385981.1,683236.54
2010-07-01,243063.35,278700.49,422481.8,721584.6000000001
2010-08-01,245908.4166666667,268917.79,410176.38999999996,695796.3300000001
2010-09-01,233404.89523809525,266975.25,396429.75,687553.88
2010-10-01,236852.34523809527,275031.20999999996,418305.07000000007,745415.5100000001
2010-11-01,255841.84523809527,273452.94,409652.73,785917.4000000001
2010-12-01,251825.20476190478,320807.17,466766.78,843762.0
2011-01-01,244328.91428571424,285089.04000000004,411737.32999999996,850696.7899999999
2011-02-01,228478.99523809523,269301.38,391131.1,819940.5
2011-03-01,255792.9166666667,281453.75,393160.91,900485.91
2011-04-01,237582.67619047617,285598.37,386749.27,797527.23
2011-05-01,247975.2761904762,253277.88,371876.74999999994,803849.5299999999
2011-06-01,247082.27619047623,290137.49000000005,380800.43,729676.79
2011-07-01,259033.88809523807,279283.36,389294.64,718255.06
2011-08-01,259688.74285714282,256380.26999999996,408494.50999999995,699736.08
2011-09-01,251882.53571428574,256728.25000000003,380453.23,660384.9299999999
2011-10-01,262255.1380952381,242071.00999999998,381309.5,672214.9299999999
2011-11-01,252218.2142857143,231413.83,381871.84,794507.24
2011-12-01,263892.43333333335,291678.03,449904.1,862318.7999999999
2012-01-01,242524.89857142858,261933.68,393781.93999999994,814956.7200000001
2012-02-01,243810.9523809524,253733.21999999997,402633.55,848067.2499999999
2012-03-01,270906.08380952384,290286.65,429534.5,925065.27
2012-04-01,249493.65857142862,262615.27999999997,389264.01999999996,792201.73
2012-05-01,261657.40666666668,235374.04,405877.41000000003,771542.4700000001
2012-06-01,255333.42619047622,261012.58000000002,409111.24,712464.94
2012-07-01,271101.9361904762,233061.34999999998,420370.60000000003,699130.0399999999
2012-08-01,280184.26857142855,259165.94,433828.01999999996,716720.36
2012-09-01,268875.09523809527,228205.77,378478.8,632120.3700000001
2012-10-01,297829.17404761905,261347.22,414523.22000000003,728414.8799999999
2012-11-01,303422.01238095236,272657.82,394751.47,812523.4400000001
2012-12-01,281757.5619047619,310407.04,442191.42999999993,848262.93
2013-01-01,291843.99761904764,287985.59,408557.45,863769.4099999999
2013-02-01,253221.89285714284,259659.66,361215.69,808853.9700000001
2013-03-01,286869.62142857147,313075.44999999995,413744.8599999999,898352.2
2013-04-01,287216.30333333334,330070.65,409238.3,966103.9199999999
2013-05-01,301770.5254761905,313131.36,403354.79,827601.25
2013-06-01,275921.36904761905,287596.64,402012.07,775187.12286
2013-07-01,292790.10476190475,314185.61,425154.22000000003,732544.52
2013-08-01,282844.3190476191,288400.67,416968.14999999997,773147.9
