Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel
2013-09-01,278403.4202380952,249357.41999999998,379479.78,672125.1600000001
2013-10-01,285195.0119047619,314518.72000000003,430179.69,800049.1200000001
2013-11-01,253022.22547619048,306638.45,404692.46,821457.4500000001
2013-12-01,282335.4695238095,339969.85,448135.35,860351.9000000001
2014-01-01,288260.8042857143,312139.77,412617.92999999993,917251.54
2014-02-01,304312.1285714286,312142.65,385430.58,890362.3099999999
2014-03-01,284201.430952381,335869.63,434863.95999999996,1004937.39
2014-04-01,250902.8311904762,349155.29999999993,437470.06999999995,972039.4199999999
2014-05-01,305911.84047619044,332737.37,427487.20000000007,877263.31
2014-06-01,285640.4357142857,303016.82,387299.1,733508.7
2014-07-01,289827.59857142856,344659.64,439137.13,826918.8099999999
2014-08-01,272617.59714285715,326356.06000000006,442953.10000000003,793694.01
2014-09-01,271079.5947619048,371327.13000000006,411466.28,728498.8400000001
2014-10-01,337006.14452380955,343812.67,459922.48,836278.1200000001
2014-11-01,303666.7042857143,343918.56000000006,436467.89999999997,885713.74
2014-12-01,311419.96047619043,464223.15,538899.26,1021378.09
2015-01-01,317220.9128571428,419102.71999999986,503135.7,1014706.21
2015-02-01,315364.3633333333,398167.69000000006,454190.88,980149.84
2015-03-01,338142.3171428571,457246.13999999996,521879.26,1142551.0599999998
2015-04-01,320920.8838095238,413451.11,486779.41000000003,1011167.74
2015-05-01,328177.80380952376,415570.94999999995,483594.8300000001,944316.6599999999
2015-06-01,331140.04571428575,414466.18,480892.11000000004,880016.47
2015-07-01,363251.95999999996,440729.52999999997,515322.6599999999,902586.3600000001
2015-08-01,333215.60714285716,439588.9,513413.0,887796.8499999999
2015-09-01,364351.758095238,422826.5854761905,501658.0433333333,734654.215
2015-10-01,364469.5457142857,448971.87999999995,532741.14,834285.95
2015-11-01,353643.0785714286,423841.81999999995,516486.95,925430.9999999999
2015-12-01,355233.6490476191,499839.17,600161.72,1047478.84
2016-01-01,346512.21904761903,433180.33999999997,545737.53,1084043.6300000001
2016-02-01,368867.54809523805,450916.35,540459.19,1055672.6400000001
2016-03-01,372223.4240476191,486255.94000000006,575720.92,1107296.65
2016-04-01,357084.2233333333,467472.2,545605.47,1149175.1921428572
2016-05-01,377629.0169047619,468710.37999999995,551000.79,1019984.4000000001
2016-06-01,355848.9933333334,450758.18000000005,537583.25,888538.1
2016-07-01,350429.7666666667,465270.48000000004,562778.84,883716.04
2016-08-01,363859.51309523813,485995.83,585748.5,866270.02
2016-09-01,356426.2335714286,456946.75,548491.65,877800.5599999999
2016-10-01,373503.77571428573,476277.64,573754.73,916410.7
2016-11-01,372904.6342857143,463726.20999999996,547323.5299999999,1019671.97
2016-12-01,372690.45571428566,524242.31000000006,615251.51,1113827.0999999999
2017-01-01,358758.75,477291.93,546212.16,743080.79
2017-02-01,357547.08,453665.32,526888.94,850348.2
2017-03-01,351880.79,523942.36,592249.34,985401.52
2017-04-01,360994.5,500063.03,530345.96,862882.01
2017-05-01,377542.43,516884.37,588861.62,834249.41
2017-06-01,378389.98,478491.95,549378.05,711907.99
2017-07-01,369996.24,521730.41,607702.7,751775.47
2017-08-01,385885.05,514086.57,604650.34,760253.35
2017-09-01,378419.91,492618.55,560892.67,712362.11
2017-10-01,393901.93,512762.32,583658.83,752340.85
2017-11-01,409448.29,510631.29,563345.61,849076.43
2017-12-01,404702.23,574097.7,635423.76,1101538.25
2018-01-01,421908.5,528763.3,581802.98,1105603.05
2018-02-01,379325.61,502041.67,545210.01,1072008.15
2018-03-01,415196.54,571052.13,618402.18,1194219.41
2018-04-01,370475.49,526979.67,565665.72,1108338.82
2018-05-01,403130.05,544395.17,570129.66,1009958.46
2018-06-01,390078.52,518911.44,554431.5,930124.22
2018-07-01,390568.01,541811.12,589775.97,950350.27
2018-08-01,407186.84,570267.25,593659.63,991724.76
2018-09-01,385847.95,531285.29,551547.83,882321.96
2018-10-01,408711.35,573729.34,579478.53,968826.57
2018-11-01,407953.78,563479.42,573687.35,1062409.16
2018-12-01,422695.43,632634.87,654281.25,1106859.27
2019-01-01,426164.22,596682.74,601717.9,1152941.52
2019-02-01,404053.32,559109.22,565421.02,1103352.49
2019-03-01,432549.41,645266.77,610720.58,1228025.33
2019-04-01,417080.81,657570.18,598932.3,1160078.1
2019-05-01,430995.64,666748.63,611615.32,1134693.17
2019-06-01,404857.54,641136.56,595748.38,1012025.47
2019-07-01,424423.26,650150.78,615538.33,1030640.68
2019-08-01,427115.42,668783.39,632420.7,1070193.1
2019-09-01,404796.02,616079.3,587866.84,973347.44
2019-10-01,438940.12,669008.77,643045.33,1043671.53
2019-11-01,434082.5,643070.35,620568.21,1122705.55
2019-12-01,435023.03,706020.77,682475.14,1175736.83
2020-01-01,423298.64,639977.66,622328.27,1186462.54
2020-02-01,428255.71,652062.07,633100.05,1233041.29
2020-03-01,422280.83,573549.42,509753.28,1100523.05
2020-04-01,348233.68,458465.21,391768.4,867182.03
2020-05-01,369735.63,478743.59,407477.83,827900.79
2020-06-01,406972.21,516903.12,388963.67,782070.61
2020-07-01,426492.7,567089.03,462383.95,869958.85
2020-08-01,487310.95,647410.51,574379.33,885700.28
2020-09-01,442751.96,661633.46,610445.1,958815.97
2020-10-01,462210.97,680401.33,648582.82,1064018.8
2020-11-01,423452.78,652595.93,639856.62,1072854.2
2020-12-01,485872.83,768161.74,760695.45,1276161.45
2021-01-01,490510.31,685942.97,655503.47,1220636.93
2021-02-01,450801.63,669312.89,621730.81,1272610.25
2021-03-01,519107.54,773453.52,692228.61,1417371.99
2021-04-01,469398.84,688389.03,610290.32,1268479.7
2021-05-01,477797.33,707336.38,643104.75,1188268.54
2021-06-01,480483.82,692598.71,637338.03,1128054.37
